##### SHEET: All Successful Submissions (xl/worksheets/sheet1.xml)
Successful Submissions	Calculated Globally												Caclulated For Each Environment and Averaged										
id	Team Name	Submitted At	pearson_r	spearman_r	lineRegressSlope	r2_score	r2_pearson	MAE	realative_MAE	normalized_MAE	RMSE	relative_RMSE	normalized_RMSE		mean_pearson_r	mean_spearman_r	mean_lineRegressSlope	mean_r2_score	mean_r2_pearson	mean_MAE	mean_realative_MAE	mean_normalized_MAE	mean_RMSE	mean_relative_RMSE	mean_normalized_RMSE
244783	ML_APT	2023-01-14 16:01:07.346615+00:00	0.56254000000000004	0.54332100000000005	0.21695800000000001	0.277451	0.31645200000000001	2.0673849999999998	0.20476900000000001	0.115441	2.6054140000000001	0.25806000000000001	0.145484		0.183169	0.107492	3.008106E-2	-0.87110699999999996	3.8773000000000002E-2	2.0712470000000001	0.23275499999999999	0.17769299999999999	2.477122	0.27693699999999999	0.21199499999999999
244941	SmAL	2023-01-16 00:27:36.743136+00:00	0.57750900000000005	0.58160999999999996	0.32606600000000002	0.30997400000000003	0.33351700000000001	2.063091	0.204344	0.115201	2.5461019999999999	0.25218499999999999	0.14217199999999999		0.146038	0.117406	2.7091540000000001E-2	-0.86207599999999995	2.7375E-2	2.0680689999999999	0.230321	0.177981	2.4861840000000002	0.27609600000000001	0.21351500000000001
244922	ML_APT	2023-01-15 20:45:14.126600+00:00	0.56281000000000003	0.54709799999999997	0.21565300000000001	0.272397	0.31675500000000001	2.0788980000000001	0.20591000000000001	0.11608400000000001	2.6145100000000001	0.258961	0.14599200000000001		0.181371	0.14658199999999999	2.678432E-2	-0.88123799999999997	3.7879999999999997E-2	2.0810399999999998	0.23264399999999999	0.178037	2.4864709999999999	0.27679900000000002	0.21232699999999999
241940	CLAC	2022-12-25 14:29:20.508335+00:00	0.48975400000000002	0.47622100000000001	0.21478	0.23721999999999999	0.23985899999999999	2.103542	0.20835100000000001	0.11745999999999999	2.6769660000000002	0.26514700000000002	0.149479		0.26007000000000002	0.25179400000000002	8.7304240000000005E-2	-1.0208969999999999	7.7502000000000001E-2	2.1158190000000001	0.24518899999999999	0.18398100000000001	2.5210699999999999	0.28883999999999999	0.217969
244910	MPB_Group	2023-01-15 18:54:07.008179+00:00	0.49373099999999998	0.49149900000000002	0.34116600000000002	0.200435	0.24376999999999999	2.1220059999999998	0.21018000000000001	0.118491	2.7407539999999999	0.27146500000000001	0.15304100000000001		0.25500800000000001	0.1764	8.4468890000000005E-2	-1.178771	8.5484000000000004E-2	2.1388310000000001	0.244033	0.18867300000000001	2.543666	0.28813299999999997	0.22284100000000001
244753	AIBreeding	2023-01-14 09:45:41.554581+00:00	0.43887700000000002	0.431481	0.18440300000000001	0.19018199999999999	0.19261300000000001	2.1451959999999999	0.212476	0.119786	2.75827	0.2732	0.15401899999999999		0.219557	0.13972100000000001	4.9490319999999997E-2	-1.118123	6.028E-2	2.1407039999999999	0.24796399999999999	0.18354300000000001	2.5444810000000002	0.29143999999999998	0.21754299999999999
243070	SmAL	2023-01-03 22:04:54.713141+00:00	0.52305299999999999	0.468968	0.25360899999999997	0.26202700000000001	0.27358399999999999	2.0843440000000002	0.20644899999999999	0.11638800000000001	2.6330770000000001	0.26079999999999998	0.14702899999999999		0.28470699999999999	0.22095699999999999	9.6263719999999997E-2	-1.0374730000000001	9.2725000000000002E-2	2.1325090000000002	0.24304300000000001	0.18765399999999999	2.5562809999999998	0.28888999999999998	0.223103
242596	AgroStat	2022-12-30 17:08:39.316705+00:00	0.55369299999999999	0.58189299999999999	0.21381800000000001	0.25468000000000002	0.30657600000000002	2.1468699999999998	0.212642	0.119879	2.64615	0.26209500000000002	0.147759		0.100074	6.0290000000000003E-2	1.976398E-2	-1.0349649999999999	2.1582E-2	2.1531210000000001	0.24263199999999999	0.188134	2.5621610000000001	0.287159	0.222829
244770	Purdue	2023-01-14 13:33:37.871854+00:00	0.58141100000000001	0.58378600000000003	0.21473700000000001	0.24401700000000001	0.33803899999999998	2.166725	0.21460899999999999	0.120988	2.6650109999999998	0.263963	0.148812		0.13864399999999999	8.7431999999999996E-2	2.1320760000000001E-2	-0.96191400000000005	3.7274000000000002E-2	2.1591619999999998	0.23957300000000001	0.18425	2.5624259999999999	0.28360600000000002	0.218497
244681	SmAL	2023-01-14 01:06:44.723937+00:00	0.47278900000000001	0.47140599999999999	0.222302	0.201713	0.22352900000000001	2.1387689999999999	0.21184	0.11942700000000001	2.7385630000000001	0.27124799999999999	0.152919		0.23438400000000001	0.16993900000000001	5.8843369999999999E-2	-1.0926629999999999	6.3361000000000001E-2	2.1467070000000001	0.25288899999999997	0.186497	2.5702069999999999	0.29810900000000001	0.221886
