dataset,decision,rule,family,recovery,ci_lo,ci_hi,outcome_reliability,n_methods,n_env,tau,paired_pearson_minus_rmse,paired_ci_lo,paired_ci_hi,paired_spearman_minus_rmse,paired_spearman_ci_lo,paired_spearman_ci_hi
maize (5 verified),D2_absolute_threshold,mean_NDCG@10%,correlation,-0.25,-0.25,0.33177083333333296,,5,23,13.755031960315659,1.0256410256410255,0.3420017482517483,1.25,-0.22435897435897437,-0.9079982517482517,0.0
common bean,D1_within_env_topk,mean_RMSE,error,0.623088793284817,0.35551301510800065,0.8361079530730599,0.8733706435210297,52,10,1780.0164171000001,-0.05178557079061086,-0.2044625026169956,0.06370033423517649,-0.031424326608284425,-0.15845243243226692,0.17823099069995665
common bean,D1_within_env_topk,mean_MAE,error,0.5817711167176709,0.30275774377134373,0.7903335124048452,0.8733706435210297,52,10,1780.0164171000001,-0.05178557079061086,-0.2044625026169956,0.06370033423517649,-0.031424326608284425,-0.15845243243226692,0.17823099069995665
common bean,D1_within_env_topk,mean_r2_score,error,0.697238647418938,0.33757636563214305,0.8372095366853185,0.8733706435210297,52,10,1780.0164171000001,-0.05178557079061086,-0.2044625026169956,0.06370033423517649,-0.031424326608284425,-0.15845243243226692,0.17823099069995665
common bean,D1_within_env_topk,mean_pearson_r,correlation,0.5713032224942062,0.29038510604300977,0.7915430495057655,0.8733706435210297,52,10,1780.0164171000001,-0.05178557079061086,-0.2044625026169956,0.06370033423517649,-0.031424326608284425,-0.15845243243226692,0.17823099069995665
common bean,D1_within_env_topk,mean_spearman_r,correlation,0.5916644666765326,0.36155653566620943,0.7934490864852498,0.8733706435210297,52,10,1780.0164171000001,-0.05178557079061086,-0.2044625026169956,0.06370033423517649,-0.031424326608284425,-0.15845243243226692,0.17823099069995665
common bean,D1_within_env_topk,mean_NDCG@10%,correlation,0.686471020209564,0.30185622081934393,0.7814827304891793,0.8733706435210297,52,10,1780.0164171000001,-0.05178557079061086,-0.2044625026169956,0.06370033423517649,-0.031424326608284425,-0.15845243243226692,0.17823099069995665
common bean,D2_absolute_threshold,mean_RMSE,error,0.9703042407551375,0.9055309641367186,0.9985271701948663,0.8802056087923744,52,10,1780.0164171000001,-0.08070401101151559,-0.9691870064837824,0.008336271345264282,-0.26807695404697585,-1.18480005886567,0.006830488490561018
common bean,D2_absolute_threshold,mean_MAE,error,0.9748159066656008,0.92043135216144,0.9983733971557085,0.8802056087923744,52,10,1780.0164171000001,-0.08070401101151559,-0.9691870064837824,0.008336271345264282,-0.26807695404697585,-1.18480005886567,0.006830488490561018
common bean,D2_absolute_threshold,mean_r2_score,error,0.9622211183188404,0.8964573192211557,0.997758290646149,0.8802056087923744,52,10,1780.0164171000001,-0.08070401101151559,-0.9691870064837824,0.008336271345264282,-0.26807695404697585,-1.18480005886567,0.006830488490561018
common bean,D2_absolute_threshold,mean_pearson_r,correlation,0.889600229743622,0.001217472611709832,0.9902182943334166,0.8802056087923744,52,10,1780.0164171000001,-0.08070401101151559,-0.9691870064837824,0.008336271345264282,-0.26807695404697585,-1.18480005886567,0.006830488490561018
common bean,D2_absolute_threshold,mean_spearman_r,correlation,0.7022272867081617,-0.252042095154797,0.9855236171597491,0.8802056087923744,52,10,1780.0164171000001,-0.08070401101151559,-0.9691870064837824,0.008336271345264282,-0.26807695404697585,-1.18480005886567,0.006830488490561018
common bean,D2_absolute_threshold,mean_NDCG@10%,correlation,-0.14640405737857845,-0.5209987229831644,0.6518667633944738,0.8802056087923744,52,10,1780.0164171000001,-0.08070401101151559,-0.9691870064837824,0.008336271345264282,-0.26807695404697585,-1.18480005886567,0.006830488490561018
spring wheat,D1_within_env_topk,mean_RMSE,error,0.2631426503236265,-0.045185395939398305,0.5749094794739037,0.6390224050036415,52,109,94.106,0.47225381598908944,-0.03529815052622139,0.6742749091947529,0.248601705285856,-0.14119413896278266,0.517759787173389
spring wheat,D1_within_env_topk,mean_MAE,error,0.22944728085210392,-0.06748797412567242,0.6010775810146217,0.6390224050036415,52,109,94.106,0.47225381598908944,-0.03529815052622139,0.6742749091947529,0.248601705285856,-0.14119413896278266,0.517759787173389
spring wheat,D1_within_env_topk,mean_r2_score,error,0.08225800076954601,-0.33611524264175097,0.5223874672913764,0.6390224050036415,52,109,94.106,0.47225381598908944,-0.03529815052622139,0.6742749091947529,0.248601705285856,-0.14119413896278266,0.517759787173389
spring wheat,D1_within_env_topk,mean_pearson_r,correlation,0.7353964663127159,0.2572716843382826,0.8894807734723991,0.6390224050036415,52,109,94.106,0.47225381598908944,-0.03529815052622139,0.6742749091947529,0.248601705285856,-0.14119413896278266,0.517759787173389
spring wheat,D1_within_env_topk,mean_spearman_r,correlation,0.5117443556094825,0.171984856198191,0.7049459309227353,0.6390224050036415,52,109,94.106,0.47225381598908944,-0.03529815052622139,0.6742749091947529,0.248601705285856,-0.14119413896278266,0.517759787173389
spring wheat,D1_within_env_topk,mean_NDCG@10%,correlation,0.3551645964427299,-0.06083100254655841,0.6161877780843059,0.6390224050036415,52,109,94.106,0.47225381598908944,-0.03529815052622139,0.6742749091947529,0.248601705285856,-0.14119413896278266,0.517759787173389
spring wheat,D2_absolute_threshold,mean_RMSE,error,0.9869736040713629,0.9531614219706074,0.9926058602753813,0.925027001787987,52,109,94.106,-1.1290075598256069,-1.205568575656616,-0.9651133487125733,-0.9498611083966833,-1.3049594648736464,-0.44538607405852665
spring wheat,D2_absolute_threshold,mean_MAE,error,0.9926925248861543,0.9683132645800763,0.996346684892514,0.925027001787987,52,109,94.106,-1.1290075598256069,-1.205568575656616,-0.9651133487125733,-0.9498611083966833,-1.3049594648736464,-0.44538607405852665
spring wheat,D2_absolute_threshold,mean_r2_score,error,0.9923923228403831,0.9665702069031344,0.9956236115942423,0.925027001787987,52,109,94.106,-1.1290075598256069,-1.205568575656616,-0.9651133487125733,-0.9498611083966833,-1.3049594648736464,-0.44538607405852665
spring wheat,D2_absolute_threshold,mean_pearson_r,correlation,-0.14203395575424385,-0.2289160281765423,-0.005101555543474347,0.925027001787987,52,109,94.106,-1.1290075598256069,-1.205568575656616,-0.9651133487125733,-0.9498611083966833,-1.3049594648736464,-0.44538607405852665
spring wheat,D2_absolute_threshold,mean_spearman_r,correlation,0.037112495674679724,-0.3358758733349219,0.5237912020950729,0.925027001787987,52,109,94.106,-1.1290075598256069,-1.205568575656616,-0.9651133487125733,-0.9498611083966833,-1.3049594648736464,-0.44538607405852665
spring wheat,D2_absolute_threshold,mean_NDCG@10%,correlation,-0.05779139894395789,-0.3919445159633164,0.5518888664597059,0.925027001787987,52,109,94.106,-1.1290075598256069,-1.205568575656616,-0.9651133487125733,-0.9498611083966833,-1.3049594648736464,-0.44538607405852665
soybean,D1_within_env_topk,mean_RMSE,error,0.34513394136593434,0.06006058694517312,0.7390837871980636,0.787096648843636,66,169,79.32,0.6472744826329817,0.21676862284840065,0.8955278292153817,0.6400581872965024,0.19011580365215497,0.8759301271582941
soybean,D1_within_env_topk,mean_MAE,error,0.26103864095313173,-0.023913789454392886,0.6421230346088035,0.787096648843636,66,169,79.32,0.6472744826329817,0.21676862284840065,0.8955278292153817,0.6400581872965024,0.19011580365215497,0.8759301271582941
