method,frac,obs,ana,n
knn10__inflated,0.05,0.3154054146407081,0.3837807946323878,169
knn10__inflated,0.1,0.256193175198181,0.32628934098610135,169
knn10__inflated,0.2,0.20893849497755032,0.25937379394978105,169
knn10__noise0.5,0.05,0.17418705960317876,0.2978830146286743,169
knn10__noise0.5,0.1,0.1856763953985482,0.25317087084506923,169
knn10__noise0.5,0.2,0.17970820889092426,0.201364699785207,169
knn10__noise1.5,0.05,0.1383544103221505,0.12808928941474237,169
knn10__noise1.5,0.1,0.11823744455641949,0.10849780616830978,169
knn10__noise1.5,0.2,0.083917352082892,0.08629295204918441,169
knn10__shrunk,0.05,0.3154054146407081,0.38378079463238796,169
knn10__shrunk,0.1,0.256103567089095,0.3262893409861015,169
knn10__shrunk,0.2,0.2088943050402643,0.2593737939497811,169
knn10__shuffled,0.05,0.15486590196925432,0.18732175785210545,169
knn10__shuffled,0.1,0.14341300900720777,0.15929461995816585,169
knn10__shuffled,0.2,0.10543728612443758,0.12658200241942633,169
knn50,0.05,0.2526248110694844,0.4339796865863113,169
knn50,0.1,0.3067702803098755,0.3682041674168117,169
knn50,0.2,0.2424317908595036,0.29307610513195537,169
markeronly_pc100,0.05,0.3736251361613887,0.6257341350955955,169
markeronly_pc100,0.1,0.380964269411726,0.530228491598964,169
markeronly_pc100,0.2,0.33350553840976477,0.42258697970255144,169
markeronly_pc100__biased,0.05,0.3736251361613887,0.6257341350955955,169
markeronly_pc100__biased,0.1,0.380964269411726,0.530228491598964,169
markeronly_pc100__biased,0.2,0.33350553840976477,0.42258697970255144,169
markeronly_pc100__inflated,0.05,0.3736251361613887,0.6257341350955954,169
markeronly_pc100__inflated,0.1,0.380964269411726,0.530228491598964,169
markeronly_pc100__inflated,0.2,0.33350553840976477,0.42258697970255144,169
markeronly_pc100__noise0.5,0.05,0.3590921953818706,0.5120724993508479,169
markeronly_pc100__noise0.5,0.1,0.30130455474848006,0.4337103502580922,169
markeronly_pc100__noise0.5,0.2,0.29032901336337263,0.3458396353689918,169
markeronly_pc100__noise1.5,0.05,0.16653469153668654,0.2629379999529267,169
markeronly_pc100__noise1.5,0.1,0.16577193571429416,0.22291631031323136,169
markeronly_pc100__noise1.5,0.2,0.16304298050874702,0.17677772015030646,169
markeronly_pc100__shrunk,0.05,0.3736251361613887,0.6257341350955955,169
markeronly_pc100__shrunk,0.1,0.380964269411726,0.530228491598964,169
markeronly_pc100__shrunk,0.2,0.33350553840976477,0.42258697970255144,169
markeronly_pc25,0.05,0.35582459735873756,0.5926510289286177,169
markeronly_pc25,0.1,0.3154818805130195,0.5024544249651842,169
markeronly_pc25,0.2,0.2977420981671843,0.4002519710473955,169
mlp,0.05,0.3707621031422949,0.48093728031858063,169
mlp,0.1,0.3371838526086301,0.40758186070370206,169
mlp,0.2,0.2725651987000438,0.3253700086152221,169
mlp__biased,0.05,0.3707621031422949,0.4809372803185808,169
mlp__biased,0.1,0.3371838526086301,0.40758186070370206,169
mlp__biased,0.2,0.2725651987000438,0.3253700086152221,169
mlp__inflated,0.05,0.3707621031422949,0.48093728031858074,169
mlp__inflated,0.1,0.3371838526086301,0.40758186070370206,169
mlp__inflated,0.2,0.2725651987000438,0.3253700086152221,169
mlp__shrunk,0.05,0.3707621031422949,0.48093728031858063,169
mlp__shrunk,0.1,0.3371838526086301,0.40758186070370206,169
mlp__shrunk,0.2,0.2725651987000438,0.3253700086152221,169
reaction_norm,0.05,0.33944482254118286,0.3122130367827065,169
reaction_norm,0.1,0.2656531791699106,0.2627334488185616,169
reaction_norm,0.2,0.18254215952978778,0.21084448880279388,169
reaction_norm__biased,0.05,0.33944482254118286,0.3122130367827065,169
reaction_norm__biased,0.1,0.2656531791699106,0.26273344881856153,169
reaction_norm__biased,0.2,0.18254215952978778,0.21084448880279386,169
reaction_norm__inflated,0.05,0.33944482254118286,0.31221303678270657,169
reaction_norm__inflated,0.1,0.2656531791699106,0.2627334488185616,169
reaction_norm__inflated,0.2,0.18254215952978778,0.21084448880279386,169
reaction_norm__noise0.5,0.05,0.20685159189681088,0.14854599841388733,169
reaction_norm__noise0.5,0.1,0.1637340429216132,0.12435184713131896,169
reaction_norm__noise0.5,0.2,0.08637480564366468,0.10041761552075923,169
reaction_norm__noise1.5,0.05,0.04462805488037176,0.029497718741575408,169
reaction_norm__noise1.5,0.1,0.044580416715595185,0.024404607340134696,169
reaction_norm__noise1.5,0.2,0.02578922599533245,0.019772208913120475,169
reaction_norm__shrunk,0.05,0.33944482254118286,0.3122130367827066,169
reaction_norm__shrunk,0.1,0.2656531791699106,0.2627334488185616,169
reaction_norm__shrunk,0.2,0.18254215952978778,0.21084448880279394,169
rf_large,0.05,0.44985258114668686,0.36537751499721244,169
rf_large,0.1,0.3533146847694459,0.3103535113805234,169
rf_large,0.2,0.2691759172737683,0.24847681605615163,169
rf_large__biased,0.05,0.44985258114668686,0.36537751499721244,169
rf_large__biased,0.1,0.3533146847694459,0.3103535113805234,169
rf_large__biased,0.2,0.2691759172737683,0.24847681605615163,169
rf_large__inflated,0.05,0.44985258114668686,0.36537751499721244,169
rf_large__inflated,0.1,0.3533146847694459,0.3103535113805234,169
rf_large__inflated,0.2,0.2691759172737683,0.24847681605615163,169
rf_large__noise0.5,0.05,0.24575610477600815,0.24199513237842124,169
rf_large__noise0.5,0.1,0.18168250179510817,0.2059106663418891,169
rf_large__noise0.5,0.2,0.15985161084501165,0.1646407519861356,169
rf_large__noise1.5,0.05,-0.00573730172940674,0.07109322485870062,169
rf_large__noise1.5,0.1,0.00011558346601961275,0.061084842598904905,169
rf_large__noise1.5,0.2,0.028811989601634162,0.049116706713621124,169
rf_large__shrunk,0.05,0.44985258114668686,0.3653775149972123,169
rf_large__shrunk,0.1,0.3533146847694459,0.31035351138052336,169
rf_large__shrunk,0.2,0.2691759172737683,0.24847681605615157,169
rf_large__shuffled,0.05,0.1284888671700387,0.1304699017808111,169
rf_large__shuffled,0.1,0.12298478347747369,0.1115572132389727,169
rf_large__shuffled,0.2,0.12609590152328667,0.08929403112656649,169
rf_small,0.05,0.42199682154292417,0.4046013922905497,169
rf_small,0.1,0.36523779896290065,0.343223118889132,169
rf_small,0.2,0.24880455206122484,0.2747006299281704,169
ridge_pc100_hi,0.05,0.3508688525308674,0.3355990686161836,169
ridge_pc100_hi,0.1,0.29917908287069833,0.2831042509440823,169
ridge_pc100_hi,0.2,0.2032318842436146,0.2268434172498439,169
ridge_pc100_lo,0.05,0.33057284698550277,0.33464630566915776,169
ridge_pc100_lo,0.1,0.3034058891603204,0.2822961918241224,169
ridge_pc100_lo,0.2,0.20338780264292813,0.2261996951423188,169
ridge_pc10_hi,0.05,0.35089340750541964,0.3136557494114801,169
ridge_pc10_hi,0.1,0.2640258114326638,0.2643536311281506,169
ridge_pc10_hi,0.2,0.20227457813647542,0.21188409580130013,169
ridge_pc10_lo,0.05,0.35089340750541964,0.3130609808372494,169
ridge_pc10_lo,0.1,0.2626308851891417,0.2638488029294432,169
ridge_pc10_lo,0.2,0.1997652770874833,0.21148175085451618,169
ridge_pc25_hi,0.05,0.3367282837759205,0.32768701561892694,169
ridge_pc25_hi,0.1,0.27436434864339937,0.2762646719899338,169
ridge_pc25_hi,0.2,0.1973321355801086,0.22135291391494671,169
ridge_pc25_lo,0.05,0.3367282837759205,0.3270837720258137,169
ridge_pc25_lo,0.1,0.275067735442653,0.2757525552050567,169
ridge_pc25_lo,0.2,0.19984199568802888,0.22094529955164557,169
ridge_pc50_hi,0.05,0.43684818377806683,0.3511088967752947,169
ridge_pc50_hi,0.1,0.30677859382893746,0.296216939006602,169
ridge_pc50_hi,0.2,0.21293332158094241,0.23730831069932604,169
