dataset,panel,removed,n_methods,splits,neg_RMSE,neg_MAE,r2_score,pearson,spearman,NDCG,corr_lo,corr_hi,err_lo,err_hi
spring wheat,base,ridge_pc20_lo,16,200,0.3832957623451034,0.3533094220140167,0.17119394482474526,0.7770644415993117,0.6035633427592142,0.5594083729041749,0.6035633427592142,0.7770644415993117,0.17119394482474526,0.3832957623451034
spring wheat,base,ridge_pc40_hi,16,200,0.3899477857745482,0.36028489034016636,0.1801337849634419,0.7794691154562271,0.6078394702304385,0.5641607738888083,0.6078394702304385,0.7794691154562271,0.1801337849634419,0.3899477857745482
spring wheat,base,ridge_pc40_lo,16,200,0.3899477857745482,0.36028489034016636,0.1801337849634419,0.7794691154562271,0.6088953907822909,0.5641607738888083,0.6088953907822909,0.7794691154562271,0.1801337849634419,0.3899477857745482
spring wheat,base,ridge_pc5_hi,16,200,0.33191733391727507,0.29943279275271956,0.1021450393910817,0.7584913916153138,0.5705356916153426,0.5227021140584059,0.5705356916153426,0.7584913916153138,0.1021450393910817,0.33191733391727507
spring wheat,base,ridge_pc5_lo,16,200,0.33191733391727507,0.29943279275271956,0.1021450393910817,0.7584913916153138,0.5705356916153426,0.5227021140584059,0.5705356916153426,0.7584913916153138,0.1021450393910817,0.33191733391727507
spring wheat,base,ridge_pc80_hi,16,200,0.3936200691350324,0.3641357331006287,0.18506906917206412,0.7807966278869642,0.6102001281454988,0.5667843610188484,0.6102001281454988,0.7807966278869642,0.18506906917206412,0.3936200691350324
spring wheat,base,ridge_pc80_lo,16,200,0.3936200691350324,0.3641357331006287,0.18506906917206412,0.7807966278869642,0.6102001281454988,0.5667843610188484,0.6102001281454988,0.7807966278869642,0.18506906917206412,0.3936200691350324
soybean,augmented,none,66,400,0.3372975063462215,0.2290691913831475,0.13441933427379266,0.9949760316060333,0.9763999739042005,0.9943207614309528,0.9763999739042005,0.9949760316060333,0.13441933427379266,0.3372975063462215
soybean,augmented,GBLUP models,64,400,0.30919780229702,0.3033197413916309,0.2691891494225569,0.7962959708293208,0.7809319149995736,0.4660474800126986,0.7809319149995736,0.7962959708293208,0.2691891494225569,0.30919780229702
soybean,base,none,26,400,0.18759154741028064,0.05491421674147607,-0.061117252414608914,0.9938411060349285,0.9710686758158147,0.9930378088781149,0.9710686758158147,0.9938411060349285,-0.061117252414608914,0.18759154741028064
soybean,base,GBLUP models,24,400,0.0012512967553292562,-0.007247092112528278,-0.0565924540459919,0.7054885817439073,0.6832755214966141,0.23026896907333014,0.6832755214966141,0.7054885817439073,-0.0565924540459919,0.0012512967553292562
soybean,base,ens_all,25,200,0.19525627027269896,0.09316877712638998,-0.04452085688142988,0.991299055621559,0.95963344896598,0.999861239886337,0.95963344896598,0.991299055621559,-0.04452085688142988,0.19525627027269896
soybean,base,ens_linear,25,200,0.18647968758058575,0.07684939510282454,-0.05591246309768868,0.9912041626077759,0.9591932089739696,0.9928615391645587,0.9591932089739696,0.9912041626077759,-0.05591246309768868,0.18647968758058575
soybean,base,ens_tree,25,200,0.1918877985536138,0.08298630507284628,-0.048892980374199375,0.9912626354743923,0.9594644838898543,0.9929089941423697,0.9594644838898543,0.9912626354743923,-0.048892980374199375,0.1918877985536138
soybean,base,env_plus_geno,25,200,0.1879326550598019,0.07849816500673175,-0.054026577218309425,0.9912198721917755,0.9592660909160513,0.9928742886328721,0.9592660909160513,0.9912198721917755,-0.054026577218309425,0.1879326550598019
soybean,base,gblup,25,200,0.24710817843257016,0.10988096455274494,-0.047437843684164226,1.0,0.994687749538711,0.9931722681807053,0.994687749538711,1.0,-0.047437843684164226,0.24710817843257016
soybean,base,gblup_gxe,25,200,0.2853989318590736,0.14879966482439433,-0.0235952628158258,0.989643321362763,0.989643321362763,0.5442395683586754,0.989643321362763,0.989643321362763,-0.0235952628158258,0.2853989318590736
soybean,base,gbm_deep,25,200,0.19051287584949134,0.08578516512468601,-0.05067756767572752,0.9912477697158517,0.9593955167324182,0.9928969294996984,0.9593955167324182,0.9912477697158517,-0.05067756767572752,0.19051287584949134
soybean,base,gbm_shallow,25,200,0.1833215961297336,0.0732657181021798,-0.06001152254543589,0.9911700171064929,0.9590347967304047,0.9928338276104739,0.9590347967304047,0.9911700171064929,-0.06001152254543589,0.1833215961297336
soybean,base,geno_mean,25,200,0.1879326550598019,0.07849816500673175,-0.054026577218309425,0.9912198721917755,0.9592660909160513,0.9928742886328721,0.9592660909160513,0.9912198721917755,-0.054026577218309425,0.1879326550598019
soybean,base,gxe_ridge,25,200,0.17646071178466333,0.065480258493378,-0.06891663920599761,0.9910958367545769,0.9586906496090005,0.9927736248675969,0.9586906496090005,0.9910958367545769,-0.06891663920599761,0.17646071178466333
soybean,base,knn10,25,200,0.17595453739987868,0.06490587186484047,-0.06957363059666782,0.9910903639624257,0.9586652595209753,0.9927691832993084,0.9586652595209753,0.9910903639624257,-0.06957363059666782,0.17595453739987868
soybean,base,knn50,25,200,0.4995678187735804,0.18755662403459536,0.09375003320490907,0.9911703897080517,0.9590365253519413,0.9928341300036988,0.9590365253519413,0.9911703897080517,0.09375003320490907,0.4995678187735804
soybean,base,markeronly_pc100,25,200,0.19394902716069598,0.08532530559491101,-0.055730348226413665,0.9912849216194084,0.959567876667812,0.9929270809675662,0.959567876667812,0.9912849216194084,-0.055730348226413665,0.19394902716069598
soybean,base,markeronly_pc25,25,200,0.1861671273191581,0.07625496920628397,-0.05684822718310727,0.9911815480161619,0.9590882924239038,0.9928431857810947,0.9590882924239038,0.9911815480161619,-0.05684822718310727,0.1861671273191581
soybean,base,mlp,25,200,0.18478500234775325,0.07492633347311925,-0.05811208765660551,0.9911858395548522,0.9591082022874797,0.9928466686764119,0.9591082022874797,0.9911858395548522,-0.05811208765660551,0.18478500234775325
soybean,base,reaction_norm,25,200,0.17651493708228913,0.06554179121178687,-0.06884625722941488,0.9910964230422125,0.9586933695907327,0.992774100682592,0.9586933695907327,0.9910964230422125,-0.06884625722941488,0.17651493708228913
soybean,base,rf_large,25,200,0.19004845473881077,0.08089909061817646,-0.051280365210597756,0.9912427483629627,0.9593722210200404,0.9928928543071567,0.9593722210200404,0.9912427483629627,-0.051280365210597756,0.19004845473881077
soybean,base,rf_small,25,200,0.19178123208789832,0.0828653776715446,-0.049031298812693684,0.9912614832704589,0.9594591384357452,0.9929080590451996,0.9594591384357452,0.9912614832704589,-0.049031298812693684,0.19178123208789832
soybean,base,ridge_pc100_hi,25,200,0.18208055376015314,0.0718574324125773,-0.06162233924572828,0.991156598871308,0.9589725451112912,0.9928229377381312,0.9589725451112912,0.991156598871308,-0.06162233924572828,0.18208055376015314
soybean,base,ridge_pc100_lo,25,200,0.18276403726254806,0.0726330223997488,-0.06073520866339024,0.991163988741795,0.9590068291580767,0.9928289351547158,0.9590068291580767,0.991163988741795,-0.06073520866339024,0.18276403726254806
soybean,base,ridge_pc10_hi,25,200,0.17646660247182164,0.06548694301167514,-0.06890899336127596,0.9910959004450903,0.958690945090301,0.992773676557074,0.958690945090301,0.9910959004450903,-0.06890899336127596,0.17646660247182164
soybean,base,ridge_pc10_lo,25,200,0.1762569015428758,0.06524898270945709,-0.0691811756547193,0.9910936331442696,0.9586804263339099,0.9927718364777969,0.9586804263339099,0.9910936331442696,-0.0691811756547193,0.1762569015428758
soybean,base,ridge_pc25_hi,25,200,0.17808905107118445,0.06732803337297416,-0.06680312867584774,0.9911134424705804,0.9587723283328997,0.9927879131847369,0.9587723283328997,0.9911134424705804,-0.06680312867584774,0.17808905107118445
soybean,base,ridge_pc25_lo,25,200,0.1782150993699469,0.06747106798621294,-0.06663952370178176,0.9911148053134284,0.958778651010414,0.9927890192306835,0.958778651010414,0.9911148053134284,-0.06663952370178176,0.1782150993699469
soybean,base,ridge_pc50_hi,25,200,0.18337864831291714,0.07333045865826987,-0.0599374713996307,0.9911706339586089,0.9590376585108437,0.9928343282307646,0.9590376585108437,0.9911706339586089,-0.0599374713996307,0.18337864831291714
soybean,base,ridge_pc50_lo,25,200,0.18358657762304914,0.07356640859767995,-0.059667588587044566,0.9911728821045656,0.9590480884015019,0.9928361527644783,0.9590480884015019,0.9911728821045656,-0.059667588587044566,0.18358657762304914
