dataset,decision,rule,family,recovery,ci_lo,ci_hi,outcome_reliability,n_methods,n_env,n_genotypes,gm_spearman_minus_rmse,gm_spearman_minus_rmse_lo,gm_spearman_minus_rmse_hi,spearman_minus_rmse,spearman_minus_rmse_lo,spearman_minus_rmse_hi,pearson_minus_rmse,pearson_minus_rmse_lo,pearson_minus_rmse_hi,spearman_minus_gm_spearman,spearman_minus_gm_spearman_lo,spearman_minus_gm_spearman_hi
common bean,D4_genotype_mean_topk,mean_r2_score,error,0.5917560957353426,0.36364801284283793,0.755130115404399,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
common bean,D4_genotype_mean_topk,mean_pearson_r,correlation,0.4959704538805257,0.3682214024603375,0.7453166807115745,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
common bean,D4_genotype_mean_topk,mean_spearman_r,correlation,0.5123566831728886,0.3766645284008928,0.752319671488368,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
common bean,D4_genotype_mean_topk,mean_NDCG@10%,correlation,0.6787696521348972,0.3289553916430454,0.8424297334021967,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
common bean,D4_genotype_mean_topk,genotype-mean spearman,genotype mean,0.6278371789130899,0.4123791580992833,0.7599330636640247,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
common bean,D4_genotype_mean_topk,genotype-mean pearson,genotype mean,0.6178964235164796,0.3549057635702087,0.7586775732903542,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
spring wheat,D4_genotype_mean_topk,mean_RMSE,error,0.6259898236884078,0.1585067353315226,0.7070283134582765,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
spring wheat,D4_genotype_mean_topk,mean_MAE,error,0.64327033403063,0.15613677737031126,0.7566600973766394,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
spring wheat,D4_genotype_mean_topk,mean_r2_score,error,0.39987966418398546,-0.052300483836384956,0.7164540736804503,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
spring wheat,D4_genotype_mean_topk,mean_pearson_r,correlation,0.4155118405791406,0.018933329050665325,0.7616641902651683,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
