Env,k,y,p,method
KE_Aher_2019D,300764175,5.0535,4.78685180235523,ridge_pc5_lo
KE_Aher_2019D,300764179,4.9176,4.820799272484152,ridge_pc5_lo
KE_Aher_2019D,300764184,5.1707,4.912691839271455,ridge_pc5_lo
KE_Aher_2019D,3022947,4.2342,4.817572816459266,ridge_pc5_lo
KE_Aher_2019D,300279864,4.4454,4.91708137226308,ridge_pc5_lo
KE_Aher_2019D,3272808,4.7659,4.743574143711565,ridge_pc5_lo
KE_Aher_2019D,3423716,4.9408,4.750644699826263,ridge_pc5_lo
KE_Aher_2019D,3425601,4.1864,4.777994388384244,ridge_pc5_lo
KE_Aher_2019D,3425772,5.2724,4.835021056815954,ridge_pc5_lo
KE_Aher_2019D,3425923,4.5367,4.827979158512899,ridge_pc5_lo
KE_Aher_2019D,3426973,4.67,4.620067084200311,ridge_pc5_lo
KE_Aher_2019D,3427347,4.7705,4.812182289596049,ridge_pc5_lo
KE_Aher_2019D,3523215,4.8641,4.749614283201263,ridge_pc5_lo
KE_Aher_2019D,3592078,3.9806,4.821173568680258,ridge_pc5_lo
KE_Aher_2019D,3592657,4.6694,4.884123745368328,ridge_pc5_lo
KE_Aher_2019D,3593039,5.0643,4.9355302151302975,ridge_pc5_lo
KE_Aher_2019D,3658769,5.0889,4.790260888392856,ridge_pc5_lo
KE_Aher_2019D,3806774,5.1442,4.989686123153375,ridge_pc5_lo
KE_Aher_2019D,3806855,4.2027,4.742245567145985,ridge_pc5_lo
KE_Aher_2019D,4016512,4.8833,4.73465810478466,ridge_pc5_lo
KE_Aher_2019D,4016513,4.1665,4.887943419430547,ridge_pc5_lo
KE_Aher_2019D,4189053,4.6708,4.790260888392856,ridge_pc5_lo
KE_Aher_2019D,4193103,4.7941,4.846702741914842,ridge_pc5_lo
KE_Aher_2019D,4214820,4.808,4.829088133233297,ridge_pc5_lo
KE_Aher_2019D,4220423,4.1423,4.902576066417563,ridge_pc5_lo
KE_Aher_2019D,4226523,5.1566,4.95483897489842,ridge_pc5_lo
KE_Aher_2019D,4228927,5.0416,4.738876120493786,ridge_pc5_lo
KE_Aher_2019D,4229118,5.3806,4.768397180747578,ridge_pc5_lo
KE_Aher_2019D,4229178,5.2459,4.711192940218186,ridge_pc5_lo
KE_Aher_2019D,4609623,4.5891,4.802683849859867,ridge_pc5_lo
KE_Aher_2019D,4789041,4.9683,4.98658196875021,ridge_pc5_lo
KE_Aher_2019D,4789051,4.6409,4.920807935149858,ridge_pc5_lo
KE_Aher_2019D,4789056,4.5168,5.007017868237361,ridge_pc5_lo
KE_Aher_2019D,4789719,4.9492,5.005742039348434,ridge_pc5_lo
KE_Aher_2019D,4789765,5.257,4.952825413289315,ridge_pc5_lo
