method,RMSE,MAE,normalized_RMSE,relative_RMSE,normalized_MAE,realative_MAE,r2_score,pearson_r,r2_pearson,spearman_r,lineRegressSlope,mean_RMSE,mean_MAE,mean_normalized_RMSE,mean_relative_RMSE,mean_normalized_MAE,mean_realative_MAE,mean_r2_score,mean_pearson_r,mean_r2_pearson,mean_spearman_r,mean_lineRegressSlope
gbm_deep__biased,18.070975107356844,14.597299037852821,1.2123843469552031,0.2988741561164634,0.979334914479086,0.24142335461144046,-0.4698758047419944,0.465028138156536,0.21625116927733432,0.46055232662560586,0.6819202216034289,16.54456511904788,14.911195346429409,2.4627764775293093,0.3281833350251224,2.2451640857809174,0.30068498043059455,-7.215505107234428,0.2116722481673665,0.08978554404070155,0.18673329026453378,0.5796828103529198
gbm_deep__inflated,27.005560758586967,20.667187076005412,1.8118069971292994,0.4466424271089101,1.3865645853467585,0.3418126614610594,-2.2826445948466887,0.465028138156536,0.21625116927733432,0.46055232662560586,0.22730674053447628,24.678430310586638,22.299356864029022,3.841963348963757,0.43125112388954406,3.4954799059713215,0.38882906149253404,-25.48727452273144,0.2116722481673665,0.08978554404070155,0.18673329026453378,0.1932276034509732
gbm_deep__noise0.5,14.472348772349003,11.440487016539128,0.9709519830022421,0.2393568139329699,0.7675439370590229,0.18921313777016252,0.057252246704013854,0.41752081500040766,0.17432363095860465,0.40937148353785147,0.5496112496026568,13.934331786738735,11.998147212965115,2.0980289527372857,0.26122174003701115,1.8201324448837994,0.2268465585607456,-5.023871317841994,0.11773967985895749,0.04089681611904585,0.1052134732435202,0.15575132171722447
gbm_deep__noise1.5,20.67051207893555,16.44591803854193,1.3867876602767015,0.3418676533715083,1.103359031971618,0.2719974902366336,-0.9231800146957283,0.2488048567755015,0.061903856755077806,0.24225617782336223,0.20043869836058728,20.52983912278587,16.767999831803248,3.0955693642397835,0.3757993927443974,2.5391141611980212,0.30826089340920043,-10.284182051476765,0.04644691520668688,0.021300045929490103,0.052275165378896864,0.02067494705232688
gbm_deep__shrunk,13.90678969866449,11.073613404983272,0.9330085425326438,0.2300030856544857,0.7429303331268164,0.183145449645767,0.12949505956111185,0.465028138156536,0.21625116927733432,0.46055232662560586,2.727680886413715,13.145779765400064,11.666566061343715,1.8975558744368055,0.25072757767184023,1.6927732494417262,0.22461687892489923,-3.572055756445887,0.2116722481673665,0.08978554404070155,0.18673329026453378,2.318731241411679
gbm_deep__shuffled,15.282406350690865,11.99803681865617,1.0252988636923877,0.2527542799631293,0.8049500343348407,0.19843440146017735,-0.051237759888901335,0.3034021614971135,0.09205287160112055,0.296333774053297,0.4449108607131779,15.00457352712667,12.595746179641747,2.2267942466133794,0.2801024933707612,1.8769549754780077,0.2381629358025208,-5.083906129153072,0.06543678122684288,0.02418289167589789,0.10128541917775832,0.06068867983958926
gbm_shallow,13.561343991627865,10.71992165820589,0.9098325398296366,0.2242897916257316,0.7192011024188637,0.1772957751420147,0.1722047494671527,0.4654940691810615,0.2166847284427429,0.4492389496458674,0.6882526531984823,12.86197646122437,11.31742077970651,1.9218259733205953,0.24242574729992183,1.7105065010478564,0.21532712614073382,-4.222024929537396,0.1882339328228877,0.08258181787368465,0.18478912827637264,0.5685520692989567
geno_mean,14.96468960994479,11.898374456056573,1.0039832013688115,0.24749959269747654,0.7982636719399783,0.196786095027261,-0.007982268630767564,0.17904625672556415,0.03205756204743663,0.10954279456869559,0.48677249256338834,14.004198444880414,12.326632563578924,2.0115298360369955,0.262899056703637,1.7755161377525348,0.23319641286814383,-3.9988754697844864,0.15915468723163198,0.07499894166643979,0.14381017974046256,0.288631760402319
gxe_ridge,13.830165625566519,10.995116768229549,0.9278678223295534,0.22873580732283447,0.7376639823558445,0.18184720116009462,0.1390613042854123,0.44869247815040764,0.20132493994875403,0.4244932262616881,0.6428485458918737,13.248360855850459,11.675509275191882,1.9812879553749456,0.24946212089319994,1.7664556804465457,0.221775713938425,-4.485465852110478,0.15068678975635685,0.07198373730275275,0.13399201893211535,0.3951214750964757
knn10,13.538160421893513,10.72089980137186,0.9082771507659314,0.22390636074837397,0.7192667261860627,0.17731195255975524,0.17503261739652143,0.44862427060293086,0.20126373617401175,0.4309472895749855,0.7384156204520714,12.911523017031461,11.133433025863342,1.8962488814953185,0.2428406404675514,1.6384625810550189,0.2113890821252389,-3.536430115737365,0.18575338992243146,0.0730541584308024,0.17719859510363412,0.26914030001742456
