dataset,dr,dg
soybean,0.14076715559400915,0.07755838025140564
soybean,0.15102303063594455,0.11693845797906223
soybean,0.1513106843293779,0.11833338422258437
soybean,0.14423104131285577,0.10659992076832661
soybean,0.14452261177501458,0.10589653396907306
soybean,0.1328297491255548,0.07418567558278857
soybean,0.1331708623044379,0.07285477286940432
soybean,0.05065834182148864,0.0012017874502596464
soybean,0.13582915371741777,0.049828701343108794
soybean,0.10904843539972822,-0.03577052335178909
soybean,0.09019624379788706,-0.04975591844988123
soybean,0.12438104124402456,0.016302797642321135
soybean,0.12484140527468815,0.012075991352699036
soybean,0.13509728031662352,0.051456069080355625
soybean,0.13538493401005688,0.05285099532387776
soybean,0.12830529099353474,0.04111753186961999
soybean,0.12859686145569357,0.04041414507036644
soybean,0.11690399880623377,0.008703286684081954
soybean,0.11724511198511689,0.007372383970697705
soybean,0.08517081189592915,0.04862691389284915
soybean,0.0583900935782396,-0.036972310802048734
soybean,0.039537901976398435,-0.050957705900140864
soybean,0.07372269942253594,0.01510101019206149
soybean,0.07418306345319951,0.010874203902439393
soybean,0.0844389384951349,0.05025428163009597
soybean,0.08472659218856825,0.05164920787361811
soybean,0.07764694917204612,0.03991574441936035
soybean,0.07793851963420496,0.0392123576201068
soybean,0.06624565698474516,0.007501499233822301
soybean,0.06658677016362825,0.006170596520438066
soybean,0.02678071831768954,0.08559922469489789
soybean,0.0456329099195307,0.09958461979299
soybean,0.011448112473393196,0.03352590370078766
soybean,0.010987748442729626,0.03775270999040976
soybean,0.0007318734007942471,-0.0016273677372468302
soybean,0.00044421970736088496,-0.0030222939807689683
soybean,0.007523862723883012,0.008711169473488791
soybean,0.007232292261724188,0.009414556272742338
soybean,0.018925154911183985,0.04112541465902684
soybean,0.01858404173230089,0.04245631737241108
soybean,0.01885219160184116,0.013985395098092119
soybean,0.015332605844296347,0.052073320994110224
soybean,0.015792969874959917,0.04784651470448813
soybean,0.026048844916895294,0.08722659243214471
soybean,0.02633649861032866,0.08862151867566684
soybean,0.01925685559380653,0.0768880552214091
soybean,0.019548426055965358,0.07618466842215556
soybean,0.007855563406505556,0.044473810035871045
soybean,0.008196676585388656,0.04314290732248681
soybean,0.034184797446137505,0.06605871609220235
soybean,0.03464516147680108,0.06183190980258026
soybean,0.044901036518736455,0.10121198753023684
soybean,0.04518869021216982,0.10260691377375897
soybean,0.03810904719564769,0.09087345031950123
soybean,0.038400617657806516,0.09017006352024769
soybean,0.02670775500834672,0.05845920513396318
soybean,0.02704886818722982,0.05712830242057894
soybean,0.0004603640306635699,-0.004226806289622099
soybean,0.010716239072598952,0.03515327143803449
soybean,0.011003892766032312,0.03654819768155663
soybean,0.003924249749510186,0.024814734227298865
soybean,0.00421582021166901,0.02411134742804532
soybean,0.00747704243779079,0.007599510958239181
soybean,0.007135929258907691,0.008930413671623422
soybean,0.01025587504193538,0.03938007772765659
soybean,0.010543528735368742,0.040775003971178725
soybean,0.0034638857188466162,0.02904154051692097
soybean,0.00375545618100544,0.028338153717667416
soybean,0.00793740646845436,0.003372704668617083
soybean,0.007596293289571262,0.004703607382001323
soybean,0.00028765369343336034,0.0013949262435221388
soybean,0.006791989323088764,0.010338537210735623
soybean,0.006500418860929941,0.01104192400998917
soybean,0.018193281510389743,0.04275278239627367
soybean,0.017852168331506647,0.04408368510965792
soybean,0.007079643016522127,0.011733463454257763
soybean,0.006788072554363302,0.012436850253511308
soybean,0.0184809352038231,0.04414770863979581
soybean,0.01813982202494,0.04547861135318006
soybean,0.0002915704621588239,-0.0007033867992535469
soybean,0.011401292187300975,0.032414245185538045
soybean,0.011060179008417879,0.033745147898922294
soybean,0.011692862649459798,0.0317108583862845
soybean,0.011351749470576702,0.03304176109966875
soybean,0.00034111317888309745,-0.0013309027133842405
