dataset,dr,p_observed,p_gaussian
spring wheat,0.19,0.9324737597007245,0.9997816420410763
spring wheat,0.195,0.9366961165504216,0.9998250746582645
spring wheat,0.2,0.9406712514334706,0.9998598694962473
spring wheat,0.20500000000000002,0.9444115833049517,0.9998877439829059
spring wheat,0.21,0.9479291620913497,0.9999100742296974
spring wheat,0.215,0.9512356453444165,0.9999279628081486
spring wheat,0.22,0.9543422807769051,0.999942293087683
spring wheat,0.225,0.9572598940220151,0.9999537727922229
spring wheat,0.23,0.9599988809940941,0.9999629689100888
spring wheat,0.23500000000000001,0.9625692042679485,0.9999703356707628
spring wheat,0.24,0.9649803929363967,0.9999762369635473
spring wheat,0.245,0.9672415454491311,0.9999809643011309
spring wheat,0.25,0.9693613349794235,0.9999847512126083
spring wheat,0.255,0.9713480169079042,0.9999877847751564
spring wheat,0.26,0.9732094380538903,0.9999902148528865
spring wheat,0.265,0.974953047324061,0.9999921614985423
spring wheat,0.27,0.9765859074853583,0.999993720883233
spring wheat,0.275,0.9781147078035959,0.9999949700468443
spring wheat,0.28,0.9795457773212868,0.9999959707036198
spring wheat,0.28500000000000003,0.980885098577613,0.9999967722907976
spring wheat,0.29,0.9821383216002644,0.9999974144108423
spring wheat,0.295,0.9833107780231721,0.9999979287878742
spring wheat,0.3,0.9844074952060188,0.9999983408349241
soybean,0.0,0.5,0.5
soybean,0.005,0.5316178434119918,0.6284650178932253
soybean,0.01,0.5629838301018474,0.741019598591104
soybean,0.015,0.5938540647412579,0.8287667411251542
soybean,0.02,0.6240000458996341,0.891150717284995
soybean,0.025,0.653215100222804,0.9326537448308233
soybean,0.03,0.6813194577208044,0.9590591360946097
soybean,0.035,0.7081637481611615,0.9753846433785861
soybean,0.04,0.7336308493999875,0.985300001031301
soybean,0.045,0.7576361589197975,0.9912571354471027
soybean,0.05,0.780126473666959,0.994812866566005
soybean,0.055,0.8010777409193547,0.9969269617177213
soybean,0.06,0.8204919818368979,0.9981810007046038
soybean,0.065,0.8383936929861033,0.9989238465185524
soybean,0.07,0.8548260069094863,0.9993635212191305
soybean,0.075,0.8698468499556886,0.9996236295198841
soybean,0.08,0.8835252832284031,0.9997774636374727
soybean,0.085,0.8959381583842215,0.9998684293256799
soybean,0.09,0.9071671697877811,0.9999222140672133
soybean,0.095,0.9172963417266354,0.9999540131695561
soybean,0.1,0.9264099556017119,0.9999728130652238
soybean,0.105,0.9345908973887722,0.9999839274910985
soybean,0.11,0.9419193893930566,0.9999904982164881
soybean,0.115,0.9484720610474896,0.9999943827284257
soybean,0.12,0.9543213097018791,0.9999966791824091
soybean,0.125,0.9595349025289313,0.9999980368015019
soybean,0.13,0.9641757735253771,0.9999988393984017
soybean,0.135,0.9683019740469472,0.9999993138770076
soybean,0.14,0.9719667405688422,0.9999995943787514
soybean,0.145,0.9752186488228877,0.9999997602054147
soybean,0.15,0.978101828736175,0.9999998582385922
soybean,0.155,0.9806562194438401,0.9999999161937042
soybean,0.16,0.9829178479446373,0.9999999504555213
soybean,0.165,0.9849191186665005,0.9999999707103708
soybean,0.17,0.9866891043178574,0.9999999826846019
soybean,0.17500000000000002,0.9882538309592962,0.9999999897635096
soybean,0.18,0.9896365522969294,0.9999999939484072
soybean,0.185,0.9908580098383194,0.9999999964224286
soybean,0.19,0.991936676829236,0.9999999978850169
soybean,0.195,0.99288898486616,0.9999999987496675
soybean,0.2,0.9937295328105613,0.9999999992608304
soybean,0.20500000000000002,0.9944712781647976,0.9999999995630189
soybean,0.21,0.9951257114470939,0.9999999997416662
soybean,0.215,0.9957030143587705,0.9999999998472786
soybean,0.22,0.9962122026988854,0.9999999999097144
soybean,0.225,0.99666125507255,0.9999999999466251
soybean,0.23,0.9970572284776273,0.9999999999684459
soybean,0.23500000000000001,0.9974063618547057,0.9999999999813458
soybean,0.24,0.9977141686584109,0.9999999999889722
soybean,0.245,0.9979855194629442,0.9999999999934805
soybean,0.25,0.9982247155577775,0.9999999999961457
soybean,0.255,0.9984355544256945,0.9999999999977216
soybean,0.26,0.9986213879284439,0.9999999999986531
soybean,0.265,0.9987851739578505,0.9999999999992037
soybean,0.27,0.9989295222441473,0.9999999999995293
soybean,0.275,0.99905673494983,0.9999999999997218
soybean,0.28,0.9991688426173143,0.9999999999998355
soybean,0.28500000000000003,0.9992676359825561,0.9999999999999027
soybean,0.29,0.999354694114843,0.9999999999999425
soybean,0.295,0.9994314092952068,0.999999999999966
soybean,0.3,0.999499009002292,0.9999999999999798
maize (G2F design),0.0,,0.5
maize (G2F design),0.005,,0.6264499368933333
maize (G2F design),0.01,,0.7376971567534686
maize (G2F design),0.015,,0.8250654028367939
maize (G2F design),0.02,,0.8877605294957155
maize (G2F design),0.025,,0.9298954292508476
maize (G2F design),0.03,,0.9569793249347465
maize (G2F design),0.035,,0.9738935043447671
maize (G2F design),0.04,,0.9842669666180884
maize (G2F design),0.045,,0.9905584756625225
maize (G2F design),0.05,,0.9943485086191
maize (G2F design),0.055,,0.9966223277965838
maize (G2F design),0.06,,0.9979831549093187
maize (G2F design),0.065,,0.998796381827466
maize (G2F design),0.07,,0.9992819374823565
maize (G2F design),0.075,,0.9995716974943681
maize (G2F design),0.08,,0.9997445604393961
maize (G2F design),0.085,,0.9998476665105968
maize (G2F design),0.09,,0.999909158448409
maize (G2F design),0.095,,0.9999458294911783
maize (G2F design),0.1,,0.9999676975950815
maize (G2F design),0.105,,0.9999807379296537
maize (G2F design),0.11,,0.9999885140006849
maize (G2F design),0.115,,0.999993150904148
maize (G2F design),0.12,,0.999995915895092
maize (G2F design),0.125,,0.9999975646574902
maize (G2F design),0.13,,0.999998547811742
maize (G2F design),0.135,,0.9999991340643497
maize (G2F design),0.14,,0.9999994836452033
maize (G2F design),0.145,,0.9999996920992473
maize (G2F design),0.15,,0.9999998163997581
maize (G2F design),0.155,,0.9999998905197638
maize (G2F design),0.16,,0.9999999347172879
maize (G2F design),0.165,,0.9999999610721297
maize (G2F design),0.17,,0.9999999767874369
maize (G2F design),0.17500000000000002,,0.9999999861584239
maize (G2F design),0.18,,0.999999991746313
maize (G2F design),0.185,,0.9999999950783534
maize (G2F design),0.19,,0.999999997065238
maize (G2F design),0.195,,0.999999998250011
maize (G2F design),0.2,,0.9999999989564872
maize (G2F design),0.20500000000000002,,0.9999999993777566
maize (G2F design),0.21,,0.9999999996289584
maize (G2F design),0.215,,0.999999999778749
maize (G2F design),0.22,,0.9999999998680689
maize (G2F design),0.225,,0.9999999999213298
maize (G2F design),0.23,,0.9999999999530893
maize (G2F design),0.23500000000000001,,0.9999999999720273
maize (G2F design),0.24,,0.99999999998332
maize (G2F design),0.245,,0.9999999999900537
maize (G2F design),0.25,,0.9999999999940692
maize (G2F design),0.255,,0.9999999999964635
maize (G2F design),0.26,,0.9999999999978912
maize (G2F design),0.265,,0.9999999999987426
maize (G2F design),0.27,,0.9999999999992502
maize (G2F design),0.275,,0.9999999999995528
maize (G2F design),0.28,,0.9999999999997333
maize (G2F design),0.28500000000000003,,0.999999999999841
maize (G2F design),0.29,,0.9999999999999052
maize (G2F design),0.295,,0.9999999999999434
maize (G2F design),0.3,,0.9999999999999662
