Env,H2,r_max,entries,nrep
MIH1_2019,0.6702456542856238,0.8186853206731044,23,2.1739130434782608
MIH1_2020,0.3957551839862951,0.6290907597368564,414,2.028985507246377
MIH1_2021,0.5838684836315592,0.7641128736198332,417,2.0191846522781773
MNH1_2014,0.659011337316836,0.8117951326023309,167,2.245508982035928
MNH1_2015,0.538376203597234,0.7337412374926422,81,2.0
MNH1_2016,0.8018570822864055,0.8954647297835943,181,2.0497237569060776
MNH1_2017,0.14733257762031907,0.38383926013413355,215,2.0651162790697675
MNH1_2018,0.8974889086545725,0.947358912268509,722,2.5609418282548475
MNH1_2019,0.4058093893071844,0.6370317019640266,381,2.3989501312335957
MNH1_2020,0.6408994400621995,0.8005619526696228,111,2.09009009009009
MNH1_2021,0.7625021081920481,0.8732136669750699,117,2.051282051282051
MOH1_1_2018,0.8099898108112761,0.899994339321796,39,2.6923076923076925
MOH1_1_2020,0.7293753463661996,0.8540347454092249,27,3.0
MOH1_2014,0.5863413017308092,0.7657292613782036,231,2.0303030303030303
MOH1_2015,0.09414172965964761,0.30682524286578444,61,2.0655737704918034
MOH1_2016,0.6407706600387797,0.8004815176122305,318,2.056603773584906
MOH1_2017,0.45202480150219826,0.6723278973106785,232,2.0948275862068964
MOH1_2_2018,0.7477407519296358,0.8647200425164412,36,2.75
MOH1_2_2020,0.7013237027295247,0.8374507165974154,43,3.604651162790698
MOH2_2014,0.6155580370801718,0.784575067842569,244,2.0163934426229506
MOH2_2015,0.3804840263799694,0.6168338725945337,60,2.066666666666667
NCH1_2014,0.7736954079010389,0.8795995724766121,243,2.0082304526748973
NCH1_2015,0.6680358300733847,0.8173345888149998,60,2.066666666666667
NCH1_2016,0.6868410486915018,0.8287587397376281,212,2.047169811320755
NCH1_2017,0.34944366312295067,0.591137600836684,149,2.0671140939597317
NCH1_2018,0.7308561363164581,0.8549012436044634,72,2.7777777777777777
NCH1_2020,0.2897375283972927,0.5382727267819657,138,2.2753623188405796
NCH1_2021,0.5340868692525829,0.7308124720149368,175,2.6228571428571428
NEH1_2015,0.45467006196442666,0.6742922674659904,61,2.0327868852459017
NEH1_2016,0.670743988894972,0.8189896146441492,241,2.033195020746888
NEH1_2020,0.6064612212090921,0.778756201393666,244,2.2131147540983607
NEH1_2021,0.7699083317042059,0.8774442043253838,242,2.1818181818181817
NEH2_2014,0.2999845367103944,0.5477084413357114,214,2.060747663551402
NEH2_2015,0.42171864718817975,0.6493986812337855,58,2.0689655172413794
NEH2_2018,0.8631898652903235,0.929080117799495,67,2.1641791044776117
