dataset,unit,s2g,s2e,entries,plots,n0,n_harm,n_bar,frac_single,ceiling_n1,ceiling_n2,ceiling_n3,ceiling_n4,ceiling_n_harm,ceiling_inf,H2_n1,H2_n2,legacy_H2,legacy_ceiling,legacy_nbar,blue_reliability,blue_ceiling,blue_lines
maize_G2F,GAH2_2017,1.1502831015688042,3.1785068429420202,88.0,183.0,2.0780101752402484,2.015267175572519,2.0795454545454546,0.011363636363636364,0.5154886575758134,0.6479833137933357,0.7214850254399315,0.7690465640940484,0.6494119127725799,1.0,0.2657285560893142,0.4198823749545926,0.4386815410671912,0.6623303866403769,2.0919540229885056,,,
maize_G2F,GAH2_2018,1.2768216309987883,2.516805150542108,444.0,500.0,1.1258329571106096,1.0611431985660227,1.1261261261261262,0.8896396396396397,0.580146684321933,0.7096707888608864,0.7768412086855185,0.81846677933754,0.5915636812591208,1.0,0.33657017532973255,0.5036326285624328,0.7447329425302334,0.8629791089767083,2.142857142857143,,,
maize_G2F,GAH2_2020,0.9746353760084612,2.0312538947198706,402.0,548.0,1.361878151336986,1.1492555092316854,1.36318407960199,0.7711442786069652,0.5694224639719735,0.6997870874115429,0.768162090683307,0.8108326471135892,0.5961841755113166,1.0,0.3242419424759134,0.48970196770793045,0.6888869155634717,0.8299921177718929,2.5869565217391304,,,
maize_G2F,GAH2_2021,1.217763367844878,4.776778128261883,324.0,419.0,1.2920191817463074,1.1206548682769355,1.2932098765432098,0.8148148148148148,0.45071651061651774,0.581111423170201,0.6583040626837382,0.710553186378852,0.47139091280773504,1.0,0.20314537294232954,0.3376904861388964,0.6301685155562897,0.7938315410439987,2.5833333333333335,,,
maize_G2F,GEH1_2019,0.8810518070677023,0.8017843016254186,233.0,488.0,2.093802996042962,1.9843860894251242,2.0944206008583692,0.04291845493562232,0.7235687668346632,0.8290222816730891,0.8759322911098245,0.9025845317309334,0.8280042069310976,1.0,0.5235517603386353,0.6872779435104548,0.703978673534255,0.8390343696978421,2.1434977578475336,,,
maize_G2F,GEH1_2020,0.46830361878188337,1.837466413167268,393.0,485.0,1.2337155480749,1.13147792706334,1.2340966921119594,0.7684478371501272,0.4506670037291985,0.5810583694866088,0.6582526424267096,0.7105046896889611,0.47310368756719656,1.0,0.20310074825025343,0.3376288287504365,0.44456320335606636,0.6667557299011883,2.010989010989011,,,
maize_G2F,IAH1_2015,3.3281811597600894,2.0300207406513877,609.0,695.0,1.1409977281332828,1.071240105540897,1.1412151067323482,0.8702791461412152,0.7881228912038546,0.8753847732060724,0.9116121287038926,0.9314980191147669,0.7982430195808997,1.0,0.6211376916395228,0.7662985011610468,0.84624835957468,0.9199175830337629,2.088607594936709,,,
maize_G2F,IAH1_2016,1.763596442569471,1.7879440818539596,352.0,740.0,2.1016478016478017,1.9979188345473466,2.102272727272727,0.028409090909090908,0.7046788222357578,0.8146243259878262,0.8645347531648648,0.8931949251434982,0.8144816399421756,1.0,0.49657224250757476,0.6636127924911202,0.6766880493458279,0.8226105088958127,2.134502923976608,,,
maize_G2F,IAH1_2017,2.1550427955191265,1.0690697291450604,291.0,617.0,2.1195551332923492,1.9863481228668942,2.120274914089347,0.044673539518900345,0.8175660600464761,0.8951295722091118,0.9263392347485826,0.9432201456499777,0.8945188548985572,1.0,0.6684142625399183,0.8012569510432674,0.8126523322249387,0.9014723136208559,2.172661870503597,,,
maize_G2F,IAH1_2018,1.4217125799576313,2.0106560037321533,437.0,693.0,1.5849583647748786,1.3789392774788622,1.585812356979405,0.4576659038901602,0.6435894910119677,0.7653628604578925,0.8243890214265347,0.8595296679877056,0.7026231314408006,1.0,0.4142074329410436,0.5857803081682874,0.6276785274667939,0.7922616534117967,2.080168776371308,,,
maize_G2F,IAH1_2019,1.0494387127870266,1.2642270062979828,596.0,690.0,1.1574765558397273,1.082324455205811,1.157718120805369,0.8489932885906041,0.673485476170809,0.7899932155601285,0.8446848120583264,0.8766644779033523,0.6879331055002844,1.0,0.45358268661302137,0.6240892806310316,0.7651954081139539,0.8747544844777613,2.0444444444444443,,,
maize_G2F,IAH1_2020,1.3185196592258628,3.0580839103373503,749.0,1031.0,1.3754000321581767,1.1346587672630495,1.376502002670227,0.7903871829105474,0.5488765792137109,0.6804664850455533,0.7509864610370842,0.7955993755028913,0.5731550122417464,1.0,0.30126549920934503,0.4630346372702502,0.6204479721052196,0.7876851986074257,2.7961783439490446,,,
maize_G2F,IAH1_2021,1.1814327200996844,1.6768305233859748,773.0,1025.0,1.3251864021230886,1.1247453681249395,1.3260025873221215,0.7994825355756792,0.6429147432679085,0.7647952024218848,0.8239159797305574,0.8591274923707042,0.6649102294068717,1.0,0.4133393671112407,0.5849117016475318,0.6808583823057844,0.8251414316987025,2.6258064516129034,,,
maize_G2F,IAH1a_2014,1.0703494992038378,3.038226916377728,431.0,852.0,1.9762201113658695,1.7621805792163543,1.976798143851508,0.1740139211136891,0.5104075861852174,0.6429215065625287,0.7168175008696652,0.7648008949032307,0.6188884911981655,1.0,0.2605159040354202,0.41334806360063153,0.46829956547146206,0.6843241669497447,2.182584269662921,,,
maize_G2F,IAH1b_2014,1.2320942179561793,2.233535829859788,235.0,439.0,1.8676284484940522,1.7332513829133376,1.8680851063829786,0.16170212765957448,0.5962533876833643,0.72425782568819,0.7895177301298384,0.8295402131520403,0.6991308922835217,1.0,0.3555181023238884,0.5245493980705846,0.48239179782470654,0.6945443094754333,2.035532994923858,,,
maize_G2F,IAH1c_2014,0.8771546984859973,2.8232452189895296,137.0,276.0,2.0082054560954816,1.5386055217594758,2.0145985401459856,0.38686131386861317,0.48687084162226396,0.6190651089710906,0.6945650378322843,0.7443930387158075,0.5687034453352012,1.0,0.23704321642197163,0.3832416091453883,0.5729769279574879,0.7569523947762421,2.6547619047619047,,,
maize_G2F,IAH2_2014,1.7232650552380047,1.1587015570121917,239.0,487.0,2.0373233482304625,1.9760231500620093,2.0376569037656904,0.029288702928870293,0.7732707239692858,0.8650979787729803,0.9038292422758846,0.9252531615585697,0.8637804427904093,1.0,0.5979476125479833,0.748394512877096,0.7533335826941262,0.867947914735744,2.0689655172413794,,,
maize_G2F,IAH2_2016,5.596670879245491,2.1043414183745144,409.0,847.0,2.070433131930458,1.982469604556287,2.0709046454767726,0.029339853300733496,0.8524933024974309,0.9174700399655199,0.942669567635009,0.9560737615101954,0.9168287834536404,1.0,0.7267448308029764,0.8417512742343327,0.8497884050121659,0.9218396850928939,2.1032745591939546,,,
